Project ID,Project Name,Country / Economy,Type,Project Type / Modality of Assistance,Project Status,Some ID,Approval,Approval1,Some Number,Geographical Location,Sector / Subsector,W,X,Y,Z,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,A,B,C,ADB URL,Project Link,Description,link_visited_already
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,9/1/15,1/9/15,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,,https://www.adb.org/projects/48116-001/main,https://www.adb.org/projects/48116-001/main,"In 2012, the Government of the People's Republic of China (PRC) asked the Asian Development Bank (ADB) to provide capacity development technical assistance (TA) for Sustainable and Climate-Resilient Land Management in Western PRC. The TA, financed by the Global Environment Facility (GEF), will complement government efforts to expand the regional scope of the PRCGEF Partnership on Land Degradation in Dryland Ecosystems and support sustainable land management (SLM) investments in selected provinces and autonomous regions. In February 2014, an ADB mission visited the PRC and reached an understanding with the government on the TA impact, outcome, outputs, cost estimates, financing plan, terms of reference for consultants, and implementation arrangements, including TA delegation.",TRUE
48061-002,Sustainable Forest Management to Improve Livelihood of Local Communities,Mongolia,Sovereign,Technical Assistance,Closed,8874,13/01/2015,1/13/15,0,Nation-wide,"Agriculture, natural resources and rural development",,,,,East Asia Department,Ministry of Environment and Tourism,"Robertson, Suzanne Kay",,,,https://www.adb.org/projects/48061-002/main,https://www.adb.org/projects/48061-002/main,"The proposed TA is in line with ADB's Interim Country Partnership Strategy for Mongolia, 20142016 to support the government's overarching strategic goal of inclusive and environmentally sustainable growth, and in particular to help Mongolia adapt to the impacts of climate change by supporting the efficient use and sustainable management of natural resources. Additionally, it will contribute to ADB's Strategy 2020's drivers of change, private sector development, gender equity, and partnerships including cooperation with civil society. The proposed TA is included in the country operations business plan, 20142016. The expected impact of the TA will be sustainable livelihood and increased resilience of forest ecosystems. The outcome will be sustainable forest management practices developed and implemented in five northeastern soums. The TA will demonstrate implementation of sound approaches following internationally accepted standards in geographically and socially comparable environments. The TA will improve the capacity of forestry line agencies in protecting and developing the forest in the target area by managing together with local stakeholders to reduce hazards to forests. Through involvement in FUGs established prior to the TA, capacity building, and formal and informal employment opportunities, around 2,300 people, including as much as possible low-income households and women, will be directly involved in the TA. The TA will target its support to communities and around 100 existing FUGs in rural areas with high forest cover of boreal forests. Those communities are mostly consisting of herders with little access to non-herding income. The poverty in those areas is generally high for 2011, according to World Bank assessments, more than 46% of the rural population was considered poor following national standards.",TRUE
49004-001,"Strengthening Results-based Planning and Delivery of Agriculture, Natural Resources and Rural Development Investments in Indonesia and Viet Nam",Regional,Sovereign,Technical Assistance,Closed,8878,19/02/2015,2/19/15,"225,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Quincieu, Eric",,,,https://www.adb.org/projects/49004-001/main,https://www.adb.org/projects/49004-001/main,"The S-CDTA provided capacity development to staff of the Governments of Indonesia and Viet Nam, tools and information necessary to assist in the paradigm shift to link disbursements to program outcomes in ANRRD. The S-CDTA worked with key staff responsible for project identification on preparing proposals for ANRRD investments using results-based modalities, including for potential financing by ADB under RBL modality.",TRUE
48054-001,Heilongjiang Jiamusi Irrigation and Drainage System Modernization,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8879,27/02/2015,2/27/15,"800,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural drainage | Agricultural production | Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management | Urban flood protection",,,,East Asia Department,Jiamusi Municipal Government,"Kobayashi, Yoshiaki",,,,https://www.adb.org/projects/48054-001/main,https://www.adb.org/projects/48054-001/main,"The major output of the PPTA will be a project design which responds to government's needs and fulfill ADB requirements. The PPTA will (i) assess the technical feasibility of the project; (ii) analyze the economic and financial feasibility of the project; (iii) conduct social and environmental assessments, and prepare safeguard documents, and gender and social action plans; (iv) assess capacity of the executing and implementing agencies for financial and procurement management; and (vi) prepare project implementation schedule and arrangement.",TRUE
42203-023,Northern Rural Infrastructure Development Sector Project - Due Diligence of Additional Financing,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,8882,19/03/2015,3/19/15,"225,000.00","Khoueng Bokeo, Khoueng Oudomxai, Khoueng Phongsali, Laos, Louangnamtha","Agriculture, natural resources and rural development",Rural market infrastructure,,,,Southeast Asia Department,Ministry of Agriculture and Forestry-Irrigation Dep,"Salter, Charles David",,,,https://www.adb.org/projects/42203-023/main,https://www.adb.org/projects/42203-023/main,"The TA will prepare the due diligence requirements for the additional financing (AF) requested for the Northern Rural Infrastructure Development Sector Project such as (i) a prioritized list of subprojects eligible for AF; (ii) a financial and economic analysis including the AF; and (iii) updated Report and Recommendation of the President, linked and supplementary documents. The project aims to improve rural household incomes with increased agricultural productivity in Bokeo, Luang Namtha, Oudomxay and Phongsaly provinces. The expansion of the investment project scope will entail: (i) an increase in the total number of productive rural infrastructure (PRI) subprojects to be implemented; and (ii) extension of PRI activities into Oudomxay province.",TRUE
48409-001,Climate-Friendly Agribusiness Value Chains Sector Project,Regional,Sovereign,Technical Assistance,Closed,8897,12/5/15,5/12/15,0,Regional,"Agriculture, natural resources and rural development",,,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,,https://www.adb.org/projects/48409-001/main,https://www.adb.org/projects/48409-001/main,"The proposed Climate-friendly Agribusiness Value Chains Sector Project (the project) will invest in pro-poor and inclusive agricultural value chains in three countries of the Greater Mekong Subregion (GMS) Kingdom of Cambodia (Cambodia), the Lao People's Democratic Republic (Lao PDR) and the Republic of the Union of Myanmar (Myanmar). The project will enhance rural household incomes and agricultural competitiveness by (i) providing improved critical production and post-harvest infrastructure, (ii) reducing energy costs by promoting bio-energy use and sustainable biomass management, and (iii) offering targeted agribusiness support services for selected value chains. The project has been conceptualized through consultations of the GMS working group on agriculture and Phase 2 of the Core Agriculture Support Program. It will build on lessons from the ADB evaluation on agricultural value chains, the Climate-resilient Rice Commercialization Project in Cambodia, and the Sustainable Natural Resource Management and Productivity Enhancement Project in Lao PDR. The lessons include the need for (i) strengthening critical rural infrastructure, (ii) supporting enabling policy environment, (iii) promoting public-private-community partnerships, (iv) building technical and business development capacity of stakeholders, and (v) promoting climate smart agriculture practices. The project will strengthen regional cooperation by targeting investments along the GMS economic corridors, and complement initiatives such as Trade Facilitation: Improved Sanitary and Phyto-sanitary (SPS) Handling project, and the GMS Core Environment Program. The impact will be increased productivity and rural household income in the project areas in Cambodia, Lao PDR and Myanmar. The outcome will be more efficient resource utilization and climate resilience for competitive and inclusive agribusiness value chains in Cambodia, Lao PDR and Myanmar. The project will have four outputs. Output 1: Improved and climate resilient critical agribusiness value chain infrastructure will include rehabilitating and modernizing critical infrastructure (e.g. farm roads, water storage and small scale irrigation systems, drying, storage, milling and packaging facilities). Output 2: Expanded bio-energy use and sustainable biomass management will include installation of agricultural waste to energy infrastructure (hard and soft) such as bio-digesters, bio-fertilizer facilities, and improved cook stoves for effective biomass management. These activities will increase value chain price competitiveness by lowering production costs. Output 3: Strengthened agribusiness policy and capacity support services will include enabling agribusiness policy/regulatory development focusing on selected value chains, provision of information on climate-friendly agriculture and resource efficient practices, harmonization of standards, and capacity building for productivity and quality improvement and reduction of post-harvest losses, marketing, potential public-private partnerships, and financing options. Output 4: Effective project implementation and knowledge management will include consultant's support and institutional strengthening for subproject feasibility preparation, procurement, financial management and safeguards, as well as diffusion of knowledge and technologies for agribusiness value chains. A project preparatory technical assistance (PPTA) is required to conduct technical, financial and economic feasibility and due diligence of priority investments and prepare relevant documents for approval of funding. The main outputs of the PPTA will include detailed reports on feasibility assessment, including technical, economic and financial due diligence, of priority agribusiness value chains in CLM countries. The PPTA will produce an agreed project design in relation to the four outputs of the investment project (agribusiness value chain infrastructure, bio-energy use and sustainable biomass management, agribusiness policy and capacity support services, and project implementation and knowledge management) with implementation arrangements suitable for each country. The PPTA will prioritize subprojects based on needs, circumstances and capacities of each country (Supplementary Document 1) and conduct a detailed assessment of policy-related, regulatory, institutional, technical, financial and other barriers for improving the competitiveness of selected value chains (one bulk commodity such as rice in all countries, and one or two high value commodities such as spices, fruits) in priority regions. It will identify measures to overcome such barriers, including identification of incentives to promote public-private partnerships (PPP) and private sector investments. The PPTA will define the scope and cost of investments, subproject locations and activities, financing plan, implementation arrangements, procurement strategy, technology issues, capacity development needs, and post-project operation and maintenance arrangements of the project. PPTA will carefully examine potential adverse impacts of investments in rural infrastructure on small markets and suggest countermeasures. Lessons learned from the roads to markets project in Cambodia, Sustainable Natural Resource Management and Productivity Enhancement Project in Lao PDR and other projects will be integrated in designing the investment project. The PPTA will build on vulnerability assessments, climate risk financing assessments, green value chain assessments and other pilots, including results-based disbursement models being conducted through Phase 2 of GMS Core Agriculture Support Program and the GMS Core Environment Program. Specific TA activities will include: (i) detailed scoping and assessments of demand and opportunities for public and private investments to support agribusiness development, (ii) assessment of institutional capacity, human resources development needs and monitoring mechanisms for the proposed interventions, (iii) meaningful stakeholder engagement initiatives and focus group discussions with civil society organizations, national and sub-national governments, private sector and local communities, (iv) baseline data collection for all indicators identified in the design and monitoring framework, (v) identification of specific areas to direct support and consult with organizations currently working in those areas to assess feasible partnership arrangements, (vi) due diligence assessments (technical, economic, social safeguards [involuntary resettlement and indigenous peoples' impacts], environmental, risk, etc.) for project financing proposal and any necessary surveys, consultation and refinement for development of implementation plan, to provide options for procuring and managing the contracts, (vii) preparation of project procurement risk assessment and management plan, procurement capacity building plan, draft procurement plan, and master bidding documents for different types of contracts, including a request for proposal for selection of implementation consultant, and (viii) preparation of necessary documents for approval of grant funding/ cofinancing, where appropriate. The social and environmental specialists will prepare reports on poverty and social assessment, environmental assessment, social safeguard frameworks (and plans, if needed), stakeholder communication strategy, and consultation and participation plan for local community engagement to ensure beneficiaries leverage full impact of the project's activities. The basic approach is to identify a few core subprojects based on established criteria (e.g., contribution to food security, energy security, water security, environmental sustainability, positive social impacts) and through stakeholder consultations.",TRUE
47381-001,Mahaweli Water Security Investment Program,Sri Lanka,Sovereign,Loan,Active,88,24/06/2015,6/24/15,"453,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,,,,Sectors Group,,"Dabare, Krishanthi",,,,https://www.adb.org/projects/47381-001/main,https://www.adb.org/projects/47381-001/main,"ADB and the Government of Sri Lanka are working together to deliver surplus water from the Mahaweli river basin to its dry zone, where scarce supplies undermine agricultural output and household incomes. The Mahaweli Water Security Investment Program is helping the government complete a decades-old program that is moving water from the country's largest river to its dry zone, made up of North Central Province, Central Province, North Western Province and Eastern Province. The project is building more than 260 kilometers of new and upgraded canals, reservoirs, and other irrigation infrastructure. It is also helping to conduct studies on improving water management and delivery systems. In addition to providing more irrigation water, the project is delivering clean drinking water to over 350,000 people, resulting in improved community health in areas where chronic kidney diseases are prevalent. The long term goal of the project is to reduce poverty while boosting economic growth and food security.",TRUE
43448-013,Bagmati River Basin Improvement Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,0367 | 3057 | 3816 | 8500 | 9803,31/10/2013,10/31/13,"94,100,000.00","Bagmati River, Bagmati Zone, Bishnumati Khola, Kathmandu Valley, Kathmandu Valley, Nagmati Khola, Shivapuri, Sundarijal","Agriculture, natural resources and rural development",Rural flood protection | Water-based natural resources management,A,C,C,Sectors Group,Ministry of Urban Development,"Rana, Arun S.",,,,https://www.adb.org/projects/43448-013/main,https://www.adb.org/projects/43448-013/main,"The Bagmati River Basin Improvement Project aims to improve water security and resilience to potential climate change impact in the Bagmati River Basin. The project will complement ongoing efforts of the Government of Nepal and civil society to improve water management and the river environment in the Bagmati River Basin (BRB). The project will invest in forming a river basin organization with adequate capacity and decision support systems for integrated water resources management (IWRM). It will finance the construction of upstream water storage, riverbed oxygenating weirs, riverbank beautification, and community initiatives to improve the river environment in Kathmandu Valley The impact will be increased water security in the BRB. The outcome will be improved river health and flood management. The project is the first attempt in Nepal to apply the concept and principles of IWRM since its adoption under the 2005 National Water Plan. The project focuses on priority issues selected by the basin stakeholders from the basin strategic investment road map. The road map is based on the 2009 Bagmati Action Plan and further consultations with basin stakeholders. The project has five outputs: (i)Established systems and capacity for integrated and participatory river basin management. Activities include (a) provide legal and institutional strengthening for IWRM and formation of a river basin organization (RBO), (b) mobilize basin stakeholders, (c) build capacity for increasing RBO competence, (d) establish a central water resources information system including a decision support system and an operating water quality monitoring network, and (e) prepare a 15-year participatory integrated river basin master plan. (ii)Improved riverbank environment in urban areas. Activities include (a) remove contaminated riverbed material; (b) construct weirs and provide phyto-remediation to enhance the river's self-cleaning capacity; (c) stabilize and beautify the riverbank; (d) mobilize, raise awareness, and build capacity of local government and communities for riverbank management and maintenance; and (e) collaborate with the private sector, which has expressed interest in setting up recreational businesses along the riverbanks through publicprivate partnerships or finance maintenance as part of social corporate activities. (iii)Increased water availability in the basin during the dry season and watershed conservation. Activities include (a) construct an 861,000 cubic meters (m3) Dhap dam and complete detail design of the 8 million m3 Nagmati dam, (b) provide rooftop rainwater harvesting and groundwater recharge, and (c) implement upstream watershed management. (iv)Functioning flood forecasting and early warning system for the Bagmati River Basin. Activities include (a) upgrade the existing flood forecasting system, (b) install a flood early warning system, and (c) increase community awareness and build capacity for flood response. (v)Efficient project management with effective stakeholder communication. Activities include (a) establish competent project management and project implementation units, (b) undertake timely procurement and disbursement, and (c) implement the project communication strategy and monitoring.",TRUE
34379-012,Northwest Irrigation Sector Project,Cambodia,Sovereign,Technical Assistance,Closed,3758,31/10/2001,10/31/01,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation,B,,,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Goffeau, Alain",,,,https://www.adb.org/projects/34379-012/main,https://www.adb.org/projects/34379-012/main,"The TA will be implemented in two tracks, that will run parallel during the implementation period. Part A will build on the achievements and recommendations of T3292-CAM with a program of institutional strengthening measures (human resource development, water resources planning, investment prioritization, etc.), and assistance with the implementation of the water resources action agenda and development of a national water policy. Part A will also assist the Government with delineation of sector and subsector responsibilities across agencies. Part B will develop a water resources sector project suitable for ADB financing, encompassing a basin-level approach to small scale water resources development for agriculture. The TA will identify one or more priority basins as core subprojects, and develop a replicable methodology for selecting candidate basins and assessing financial, economic and technical viability of future subprojects to be undertaken during loan implementation. Investments in a particular basin may comprise rehabilitation of surface water irrigation systems and farm to market roads, formation and training of water user groups for system management and operations, development of cost recovery measures, water harvesting and storage structures, agricultural extension and IPM, groundwater development, and mitigation of environmental impacts. Part B will benefit from the early work of Part A in terms of establishment of criteria for prioritizing investments and selection of priority basins. Part A, though running in parallel, should also sort out inter-agency responsibilities within basins and thereby clarify the most appropriate institutional arrangements for project management under a future loan.",TRUE
30552-013,Infrastructure for Rural Productivity Enhancement Sector Project,Philippines,Sovereign,Loan,Closed,1772,31/10/2000,10/31/00,"75,000,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",B,,,Southeast Asia Department,Dept. of Agriculture (Office of the Secretary),"Bui, Giap Minh",,,,https://www.adb.org/projects/30552-013/main,https://www.adb.org/projects/30552-013/main,"The long-term development goal is increased rural incomes in areas with high agricultural potential. The immediate objective of the Project is the removal of constraints to the improvement of productivity caused by the lack or inadequacy of rural infrastructure. This will be achieved by the provision of infrastructure in areas where there is potential for sustainable gains in productivity that will, in turn, lead to increases in rural incomes, particularly for smallholders and the poor. The Project will have three components: (i) improved rural infrastructure; (ii) capacity building for devolved project implementation and project management; and (iii) project management and coordination.",TRUE
